Package Name,Severity,Installed Version,Fixed Version,Description,CVE ID,Source
apt,LOW,2.2.4,,It was found that apt-key in apt all versions do not correctly validate gpg keys with the master keyring leading to a potential man-in-the-middle attack.,CVE-2011-3374,tykio/gromit & tykio/tyk-plugin-compiler
apt-transport-https,LOW,2.2.4,,It was found that apt-key in apt all versions do not correctly validate gpg keys with the master keyring leading to a potential man-in-the-middle attack.,CVE-2011-3374,tykio/tyk-plugin-compiler
bash,HIGH,5.1-2+deb11u1,,A flaw was found in the bash package where a heap-buffer overflow can occur in valid parameter_transform. This issue may lead to memory problems.,CVE-2022-3715,tykio/tyk-plugin-compiler
bash,LOW,5.1-2+deb11u1,,null,TEMP-0841856-B18BAF,tykio/gromit & tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,The C++ symbol demangler routine in cplus-dem.c in libiberty as distributed in GNU Binutils 2.29 allows remote attackers to cause a denial of service (excessive memory allocation and application crash) via a crafted file as demonstrated by a call from the Binary File Descriptor (BFD) library (aka libbfd).,CVE-2017-13716,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,The demangle_template function in cplus-dem.c in GNU libiberty as distributed in GNU Binutils 2.31.1 contains an integer overflow vulnerability (for Create an array for saving the template argument values) that can trigger a heap-based buffer overflow as demonstrated by nm.,CVE-2018-20673,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,A heap-based buffer over-read exists in the function d_expression_1 in cp-demangle.c in GNU libiberty as distributed in GNU Binutils 2.31.1. A crafted input can cause segmentation faults leading to denial-of-service as demonstrated by c++filt.,CVE-2018-20712,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,An issue was discovered in cplus-dem.c in GNU libiberty as distributed in GNU Binutils 2.30. Stack Exhaustion occurs in the C++ demangling functions provided by libiberty and there are recursive stack frames: demangle_template_value_parm demangle_integral_value and demangle_expression.,CVE-2018-9996,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,GNU binutils gold gold v1.11-v1.16 (GNU binutils v2.21-v2.31.1) is affected by: Improper Input Validation Signed/Unsigned Comparison Out-of-bounds Read. The impact is: Denial of service. The component is: gold/fileread.cc:497 elfcpp/elfcpp_file.h:644. The attack vector is: An ELF file with an invalid e_shoff header field must be opened.,CVE-2019-1010204,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,An issue was discovered in binutils libbfd.c 2.36 relating to the auxiliary symbol data allows attackers to read or write to system memory or cause a denial of service.,CVE-2020-19726,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,An issue was discovered in the Binary File Descriptor (BFD) library (aka libbfd) as distributed in GNU Binutils 2.35.1. A heap-based buffer over-read can occur in bfd_getl_signed_32 in libbfd.c because sh_entsize is not validated in _bfd_elf_slurp_secondary_reloc_section in elf.c.,CVE-2020-35448,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,There is an open race window when writing output in the following utilities in GNU binutils version 2.35 and earlier:ar objcopy strip ranlib. When these utilities are run as a privileged user (presumably as part of a script updating binaries across different users) an unprivileged user can trick these utilities into getting ownership of arbitrary files through a symlink.,CVE-2021-20197,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,A flaw was found in GNU Binutils 2.35.1 where there is a heap-based buffer overflow in _bfd_elf_slurp_secondary_reloc_section in elf.c due to the number of symbols not calculated correctly. The highest threat from this vulnerability is to system availability.,CVE-2021-20284,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,An issue was discovered in GNU libiberty as distributed in GNU Binutils 2.36. It is a stack-overflow issue in demangle_type in rust-demangle.c.,CVE-2021-32256,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,A flaw was discovered in GNU libiberty within demangle_path() in rust-demangle.c as distributed in GNU Binutils version 2.36. A crafted symbol can cause stack memory to be exhausted leading to a crash.,CVE-2021-3530,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,An out of bounds flaw was found in GNU binutils objdump utility version 2.36. An attacker could use this flaw and pass a large section to avr_elf32_load_records_from_section() probably resulting in a crash or in some cases memory corruption. The highest threat from this vulnerability is to integrity as well as system availability.,CVE-2021-3549,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,Heap/stack buffer overflow in the dlang_lname function in d-demangle.c in libiberty allows attackers to potentially cause a denial of service (segmentation fault and crash) via a crafted mangled symbol.,CVE-2021-3826,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,stab_xcoff_builtin_type in stabs.c in GNU Binutils through 2.37 allows attackers to cause a denial of service (heap-based buffer overflow) or possibly have unspecified other impact as demonstrated by an out-of-bounds write. NOTE: this issue exists because of an incorrect fix for CVE-2018-12699.,CVE-2021-45078,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,Heap-based Buffer Overflow in function bfd_getl32 in Binutils objdump 3.37.,CVE-2021-46174,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,GCC v12.0 was discovered to contain an uncontrolled recursion via the component libiberty/rust-demangle.c. This vulnerability allows attackers to cause a Denial of Service (DoS) by consuming excessive CPU and memory resources.,CVE-2021-46195,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,An issue was discovered in Binutils readelf 2.38.50 reachable assertion failure in function display_debug_names allows attackers to cause a denial of service.,CVE-2022-35205,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,Null pointer dereference vulnerability in Binutils readelf 2.38.50 via function read_and_display_attr_value in file dwarf.c.,CVE-2022-35206,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,In GNU Binutils before 2.40 there is a heap-buffer-overflow in the error function bfd_getl32 when called from the strip_main function in strip-new via a crafted file.,CVE-2022-38533,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,An illegal memory access flaw was found in the binutils package. Parsing an ELF file containing corrupt symbol version information may result in a denial of service. This issue is the result of an incomplete fix for CVE-2020-16599.,CVE-2022-4285,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,Heap buffer overflow vulnerability in binutils readelf before 2.40 via function find_section_in_set in file readelf.c.,CVE-2022-44840,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,Heap buffer overflow vulnerability in binutils readelf before 2.40 via function display_debug_section in file readelf.c.,CVE-2022-45703,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,An issue was discovered function stab_demangle_v3_arg in stabs.c in Binutils 2.34 thru 2.38 allows attackers to cause a denial of service due to memory leaks.,CVE-2022-47007,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,An issue was discovered function make_tempdir and make_tempname in bucomm.c in Binutils 2.34 thru 2.38 allows attackers to cause a denial of service due to memory leaks.,CVE-2022-47008,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,An issue was discovered function pr_function_type in prdbg.c in Binutils 2.34 thru 2.38 allows attackers to cause a denial of service due to memory leaks.,CVE-2022-47010,tykio/tyk-plugin-compiler
binutils,LOW,2.35.2-2,,An issue was discovered function parse_stab_struct_fields in stabs.c in Binutils 2.34 thru 2.38 allows attackers to cause a denial of service due to memory leaks.,CVE-2022-47011,tykio/tyk-plugin-compiler
